"Nombre,Ciudad,Departamento,Dirección,Teléfono,Página web,Descripción"
Sapolin,Medellín,Antioquia,"Cr81 N 42 C-37","(+57) 4 2818631",http://sapolin.com,"Pinturas Sapolín y Colpinturas cuentan con un amplio portafolio de productos, para acabados arquitectónicos, para madera, construcción, productos industriales, metalmecánica, productos auxiliares"
"Impadoc S.A.",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Cali","(+57) 321 6383338",http://www.impadoc.com,"Es una empresa industrial con más de 50 años de experiencia en el mercado colombiano, se dedica a la producción de sistema de morteros y acabados para la construcción. Impadoc S.A. es una empresa industrial con más de 50 años de experiencia en el mercado colombiano, se dedica a la producción de acabados y morteros para la construcción y minerales industriales no metálicos."
Alcriluz,Medellín,Antioquia,"Cl 30 A 81 A-22","(+57) 4 4088157",http://www.acriluz.com,"Construccciones Livianas para Iluminación Natural, Pisos para exteriores, Fachadas y Cerramientos,Persianas Aerolux,Lamina PETG Spectar Alcriluz, empresa con una amplia trayectoria en el sector. Láminas y Tejas enPolicarbonato, Tejas termoacústicas Cero Asbesto, Fachadas y Cerramientos, Vidrio Templadoy laminado, Línea de poliéster reforzado compatibles con las Tejas standing seam, Láminas macizas y Spectar, Cubiertas arquitectónicas, Pérgolas, Techos, Domos y demás"
"Metecno De Colombia",Medellín,Antioquia,"Cr43 18s 135 - OF. 926","(+57) 4 5200000",http://www.metecnocolombia.com,"Paneles aislados con poliuretano inyectado de alta densidad, combinando sus caras con acero galvanizado prepintado, acero inoxidable, corten, TPO/PVC,vinyl, fibrocemento entre otros. Paneles de lana de roca mineral con caras en lámina de acero galvanizado prepintado. Puertas seccionales. Accesorios para sus sistemas. Soporte técnico en especificaciones y uso del panel. Producción en línea continua, garantizando el control de industrializado del panel."
Somax,Medellín,Antioquia,"Medellín y Municipios del Área Metropolitana","(+57) 301 6064722",http://www.somax.com.co,"Lavado semi seco profesional de toda clase de muebles, con un sistema de lavado el cual garantiza el secado de sus muebles máximo de 3 horas sin necesidad de sol o viento, trabajo garantizado. Lavado semiseco y reparación de tapetes decorativos e institucionales para empresas, lavado de silleterías de teatros o oficinas, lavado y reparación de todo tipo de cortinas (panel japones, sheer elegant, romanas), lavado, pulido y abrillantamiento de suelos, lavado y desinfección de colchones."
"Inversiones Mr. Motor",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bogotá, D.C.",,http://www.invermotor.com,"Empresa dedicada a la Importación y comercialización de reductores de velocidad-sinfin-corona y helicoidal, motores eléctricos monofásicos, bifásicos y trifásicos. envíos a todo el territorio nacional Empresa con más de 20 años de experiencia al servicio de la industria dedicada a la importación y distribución de motores eléctricos, reductores, motorreductores, electro frenos."
"Grupo Aristi. Ferretería Y Depósito Santa Lucia",Medellín,Antioquia,"Cl 47 F 86-42","(+57) 4 3229126",,"Grifería - Pisos de cerámica y porcelanato - Pinturas - Artículos y material eléctrico - Herramientas - Material de playa - Ladrillos - Cemento - Hierro - Tubería PVC - Arena - Todo para construcción Eléctricos - Iluminación - Tejas - Drywall - Impermeabilizantes - Aluminio - Cobre - Ferretería en general"
"Grupo Aristi "" Ferreteria Y Deposito Malibu """,Medellín,Antioquia,"Cr66 B 32 C-51 Sector Malibú","(+57) 316 3656932",,"Material de playa - Arena - Adobes - Cemento - Hierro - Pisos de cerámica - Pinturas - Tubería PVC Material eléctrico - Griferías - Iluminación - Tejas - Drywall - Impermeabilizantes - Aluminio - Cobre - Herramientas"
"Racores Y Partes Pereira S.A.S.",Medellín,Antioquia,Información,"(+57) 312 2952117",http://www.racoresypartes.com,"Empresa dedicada a la comercialización de productos del sector autopartes, dirigidos al sector tanto comercial como industrial, con capacidad de darle respuesta a las necesidades de los clientes. ASESORÍA Y SERVICIO EN : Instalación, mantenimiento y reparación de redes de aire comprimido, sistemas neumáticos y sistemas hidráulicos. Remachada y vulcanizada de bandas y pastillas para freno. Grafada y acoplada de mangueras hidráulicas para alta y baja presión. Trabajos en asbesto."
"Mayorista De Materiales",Medellín,Antioquia,"Cr 50 41 - 85","(+57) 4 4488284",http://www.mayoristademateriales.com,"Distribuidores Mayoristas de Corona, Ajover, Sika, Grival, Pintuco, Eternit, Edil, Argos, Socoda, Permofit, Pavco, Alfa, Bronco. Somos una gran Comercializadora de toda Clase de Productos relacionados con el Sector de la Construcción. Sistemas de Construcción Livianas - Láminas de Teja y Zinc - Material de Playa - Adobe - Mármol y Granito - Arena - Hierro - Crédito para Remodelar. Mayorista de Materiales a Nivel Regional."
"Depósito Y Ferretería La Pradera",Medellín,Antioquia,"Cr66 B 32 C-51 Sector Malibú","(+57) 316 3656932",http://www.depositoyferreterialapradera.com,"Adobes, materiales de playa, alquiler de equipo, tuberías, iluminación, todo para la construcción, planes de financiación, tarjetas débito y credito Tarjeta Somos Epm En Depósito y Ferretería La Pradera usted encontrará todo lo que necesita en herramientas de construcción y ferretería. Ofrecemos planes de financiación para que puedas realizar todos tus proyectos."
"Wesco Acero Inoxidable",Medellín,Antioquia,"Zona Antioquia","(+57) 316 3044430",http://www.wesco.com.co,"Acero inoxidable Certificado, Láminas Planas, Rollo,Tubería Ornamental Redonda, Cuadrada, Rectangular, tuberías Estructural SCH10 SCH40, Varillas, Ejes,Barras isas,Redondas,Cuadradas,Platinas,ángulos Lamina alfajor, accesorios, discos bridas, tapón, servicio corte láser, cortes cizalla, servicio plegado plastificado tipo acero inoxidable 316L 304 opaco 2B 430 brillante BA satinado T4 Black Gold Rose T8. Llame Gratis desde Celular Claro: #316, #304, #430 - Movistar: #304, #430 - Tigo: #316, #430"
"Antioqueña De Rodachinas Ltda.",Medellín,Antioquia,"Cr52 40 - 112 Cc Paseo Bolívar","(+57) 320 6989443",http://www.antioquenaderodachinas.com,"Importadores distribuidores y fabricantes de Ruedas-Rodachinas-Transporte Industrial Ruedas fabricadas en materiales de excelente calidad y una amplia gama en diferentes materiales, permitiendo un gran rendimiento en los más exigentes ambientes como: corrosivos, químicos, delicados, terrenos agresivos y de alta temperatura."
"Herrajes Andina S.A.S.",Medellín,Antioquia,Medellín,"(+57) 4 3720238",http://www.herrajesandina.com,"Líder en soluciones efectivas a sus necesidades específicas. Estructuras metálicas, herrajes eléctricos, formaletas metálicas, galvanizado y metalmecánica."
"Internacional Ferretera",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Itagüí","(+57) 310 6538874",http://www.interfer.com.co,"Con una experiencia de más de 30 años en el mercado, nos hemos especializado en suministrar herramientas, equipos y accesorios para el montaje y mantenimiento de proyectos en los diferentes sectores. Herramienta manual - herramienta para tubería - pinturas - herramienta de corte - izaje de carga - siliconas y sellantes - abrasivos y accesorios - herramienta eléctrica - manejo de alturas - instrumentos de medición - carretillas, ruedas, rodachinas - cerraduras - elementos de seguridad industrial."
"Laminas Y Cortes Industriales S.A.",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Cali","(+57) 317 6399462",http://www.lamincortes.com,"Fabricamos estructuras, equipos, piezas y partes, postes metálicos,corte con cizalla, laser, tecnología cnc, rolado de láminas,soldadura, punzonadora, dobles de lámina,curvadora de tuberías y perfiles Comercializamos todo tipos láminas: cold rolled, hot rolled, galvanizada, naval, inoxidable, anti - desgaste, alfajor, lámina 1045, aceros especiales, aceros redondos, cuadrados 1020, suministro de perfiles, estructurales en 1, H, ángulos, canales, vigas, bronces."
"Cielos Y Muros S.A.S.",Medellín,Antioquia,"Sec Llano Grande A 100 Mts de la Fonda la Amalia en la Vía al Club Campestre","(+57) 312 2586722",http://www.cielosymuros.co,"Ofrecemos cielos rasos, tratamientos acústicos y térmicos, proporcionando una solución integral de confort acústico con materiales como la fibra de vidrio e importados en madera. Es esencial que la persona que se encarga de realizar los trabajos de arquitectura sea un profesional, por ello tenemos la experiencia en la instalación, asesoría y suministro de productos para acabados técnicos y arquitectónicos que están a la vanguardia en diseño, confort y modularidad."
"Pinturas Azteca",Medellín,Antioquia,"Cl 29 45 - 87","(+57) 4 4448133",http://.com,"La pintura epóxiacril de AZTECA la puedes aplicar en paredes, techos, cielos, pisos, etc. La pintura epóxiacril de AZTECA es ideal para aquellos lugares donde se necesita una mayor protección ya sea contra productos químicos, y es ideal para aplicarla en laboratorios, plantas para el tratamiento de agua, industrias alimenticias o donde la higiene y la protección sea un factor indispensable"
"Electro Rey S.A.S",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bucaramanga","(+57) 300 3229848",http://www.electrorey.co,"Satisfacer las necesidades de nuestros clientes brindándoles soluciones integrales con tecnologías de punta en el sector eléctrico, electrónico y de telecomunicaciones."
"Almacenes H.J. S.A.",Medellín,Antioquia,"Cr50 42-108","(+57) 4 2327271",http://www.almaceneshj.com,"Venta y reparación de herramientas eléctricas, guadañas, equipos de seguridad industrial. Servicio técnico venta y reparación de guadañas y herramientas eléctricas. Todo en equipos para seguridad industrial"
"Uniperfiles S.A.S",Medellín,Antioquia,"Atiende en Medellín desde su sede principal en Bogotá, D.C.",,http://www.uniperfilesltda.com,"Línea para drywall perforados, estriados y lisos, línea cielo raso en PVC y sus accesorios, línea portaprecios, línea hospitalaria, línea carrocerías, línea oficinas modulares, linea de pisos. Líderes en extrusión de perfilería plástica. Dilataciones, esquineros, media caña para ambientes con asepsia y sus accesorios, juntas de expansión y contracción, guarda escobas, guardacamilla, porta precios, desarrollos especiales (Perfilería para carrocerías, oficinas modulares)."
"Aceros Luisesco S.A.",Medellín,Antioquia,"Cr55 59 - 84","(+57) 4 4488304",http://www.acerosluisesco.com,"Acero inoxidable: Láminas, rollos, tubería, ángulos, barras, platinas, alambre, accesorios para pasamanos, distribución a nivel nacional. Comercializamos acero inoxidable a nivel nacional : Láminas, rollos, tubería cuadrada, ángulos, barras, platinas, alambre, accesorios para pasamanos y asesoría en general"
